image_name,filter_type,filter_name,kernel_size,padding,runtime,file_name
NZjers1,direction,max,15,constant,-1,./results/edge/NZjers1/max/direction/15-constant-sjlMdofF.png
NZjers1,combined,max,15,constant,-1,./results/edge/NZjers1/max/combined/15-constant-BvPgBgFx.png
NZjers1,magnitude,min,3,constant,-1,./results/edge/NZjers1/min/magnitude/3-constant-jbAXSYoS.png
NZjers1,direction,min,3,constant,-1,./results/edge/NZjers1/min/direction/3-constant-huvtKibC.png
NZjers1,combined,min,3,constant,-1,./results/edge/NZjers1/min/combined/3-constant-IIpIolCb.png
NZjers1,magnitude,min,5,constant,-1,./results/edge/NZjers1/min/magnitude/5-constant-jOwTVLid.png
NZjers1,direction,min,5,constant,-1,./results/edge/NZjers1/min/direction/5-constant-qExcXNBK.png
NZjers1,combined,min,5,constant,-1,./results/edge/NZjers1/min/combined/5-constant-pGhCafrt.png
NZjers1,magnitude,min,7,constant,-1,./results/edge/NZjers1/min/magnitude/7-constant-gnFKoIuS.png
NZjers1,direction,min,7,constant,-1,./results/edge/NZjers1/min/direction/7-constant-mJOddxVe.png
NZjers1,combined,min,7,constant,-1,./results/edge/NZjers1/min/combined/7-constant-WmikCrJL.png
NZjers1,magnitude,min,9,constant,-1,./results/edge/NZjers1/min/magnitude/9-constant-XTpRJCLv.png
NZjers1,direction,min,9,constant,-1,./results/edge/NZjers1/min/direction/9-constant-BbgSOSnD.png
NZjers1,combined,min,9,constant,-1,./results/edge/NZjers1/min/combined/9-constant-jVEEpCNn.png
NZjers1,magnitude,min,11,constant,-1,./results/edge/NZjers1/min/magnitude/11-constant-vUiDRkez.png
NZjers1,direction,min,11,constant,-1,./results/edge/NZjers1/min/direction/11-constant-eJFByrbo.png
NZjers1,combined,min,11,constant,-1,./results/edge/NZjers1/min/combined/11-constant-idzftuVh.png
NZjers1,magnitude,min,13,constant,-1,./results/edge/NZjers1/min/magnitude/13-constant-BVeQxCpb.png
NZjers1,direction,min,13,constant,-1,./results/edge/NZjers1/min/direction/13-constant-hkKWdFia.png
NZjers1,combined,min,13,constant,-1,./results/edge/NZjers1/min/combined/13-constant-ltQsBDCZ.png
NZjers1,magnitude,min,15,constant,-1,./results/edge/NZjers1/min/magnitude/15-constant-UhviYqyW.png
NZjers1,direction,min,15,constant,-1,./results/edge/NZjers1/min/direction/15-constant-HhziMXJO.png
NZjers1,combined,min,15,constant,-1,./results/edge/NZjers1/min/combined/15-constant-cZtzEvki.png
NZjers1,magnitude,midpoint,3,constant,-1,./results/edge/NZjers1/midpoint/magnitude/3-constant-BiziLbqi.png
NZjers1,direction,midpoint,3,constant,-1,./results/edge/NZjers1/midpoint/direction/3-constant-AOeBTfUU.png
NZjers1,combined,midpoint,3,constant,-1,./results/edge/NZjers1/midpoint/combined/3-constant-YryoGmeL.png
NZjers1,magnitude,midpoint,5,constant,-1,./results/edge/NZjers1/midpoint/magnitude/5-constant-ZBqQLYvM.png
NZjers1,direction,midpoint,5,constant,-1,./results/edge/NZjers1/midpoint/direction/5-constant-DFqBjeGu.png
